Series Name,Series Code,Country Name,Country Code,1960 [YR1960],2017 [YR2017]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,8996351,35530081
"Population, total",SP.POP.TOTL,Albania,ALB,1608800,2873457
"Population, total",SP.POP.TOTL,Algeria,DZA,11124888,41318142
"Population, total",SP.POP.TOTL,American Samoa,ASM,20013,55641
"Population, total",SP.POP.TOTL,Andorra,AND,13411,76965
"Population, total",SP.POP.TOTL,Angola,AGO,5643182,29784193
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,55339,102012
"Population, total",SP.POP.TOTL,Argentina,ARG,20619075,44271041
"Population, total",SP.POP.TOTL,Armenia,ARM,1874120,2930450
"Population, total",SP.POP.TOTL,Aruba,ABW,54211,105264
"Population, total",SP.POP.TOTL,Australia,AUS,10276477,24598933
"Population, total",SP.POP.TOTL,Austria,AUT,7047539,8809212
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,3895396,9862429
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,109528,395361
"Population, total",SP.POP.TOTL,Bahrain,BHR,162427,1492584
"Population, total",SP.POP.TOTL,Bangladesh,BGD,48199747,164669751
"Population, total",SP.POP.TOTL,Barbados,BRB,230939,285719
"Population, total",SP.POP.TOTL,Belarus,BLR,8198000,9507875
"Population, total",SP.POP.TOTL,Belgium,BEL,9153489,11372068
"Population, total",SP.POP.TOTL,Belize,BLZ,92064,374681
"Population, total",SP.POP.TOTL,Benin,BEN,2431622,11175692
"Population, total",SP.POP.TOTL,Bermuda,BMU,44400,65441
"Population, total",SP.POP.TOTL,Bhutan,BTN,223288,807610
"Population, total",SP.POP.TOTL,Bolivia,BOL,3693449,11051600
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3225668,3507017
"Population, total",SP.POP.TOTL,Botswana,BWA,524552,2291661
"Population, total",SP.POP.TOTL,Brazil,BRA,72207554,209288278
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,8033,31196
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,81745,428697
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7867374,7075991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,4829288,19193382
"Population, total",SP.POP.TOTL,Burundi,BDI,2786106,10864245
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,202310,546388
"Population, total",SP.POP.TOTL,Cambodia,KHM,5722370,16005373
"Population, total",SP.POP.TOTL,Cameroon,CMR,5176268,24053727
"Population, total",SP.POP.TOTL,Canada,CAN,17909009,36708083
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,7865,61559
"Population, total",SP.POP.TOTL,Central African Republic,CAF,1503508,4659080
"Population, total",SP.POP.TOTL,Chad,TCD,3001593,14899994
"Population, total",SP.POP.TOTL,Channel Islands,CHI,109420,165314
"Population, total",SP.POP.TOTL,Chile,CHL,7716625,18054726
"Population, total",SP.POP.TOTL,China,CHN,667070000,1386395000
"Population, total",SP.POP.TOTL,Colombia,COL,16480383,49065615
"Population, total",SP.POP.TOTL,Comoros,COM,191121,813912
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,15248251,81339988
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,1037220,5260750
"Population, total",SP.POP.TOTL,Costa Rica,CRI,1333040,4905769
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,3558988,24294750
"Population, total",SP.POP.TOTL,Croatia,HRV,4140000,4125700
"Population, total",SP.POP.TOTL,Cuba,CUB,7141135,11484636
"Population, total",SP.POP.TOTL,Curacao,CUW,124826,161014
"Population, total",SP.POP.TOTL,Cyprus,CYP,572930,1179551
"Population, total",SP.POP.TOTL,Czech Republic,CZE,9602006,10591323
"Population, total",SP.POP.TOTL,Denmark,DNK,4579603,5769603
"Population, total",SP.POP.TOTL,Djibouti,DJI,83636,956985
"Population, total",SP.POP.TOTL,Dominica,DMA,60011,73925
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,3294042,10766998
"Population, total",SP.POP.TOTL,Ecuador,ECU,4545550,16624858
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,26996533,97553151
"Population, total",SP.POP.TOTL,El Salvador,SLV,2762899,6377853
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,255323,1267689
"Population, total",SP.POP.TOTL,Eritrea,ERI,1397491,..
"Population, total",SP.POP.TOTL,Estonia,EST,1211537,1315480
